,player_name,player_profile_url,player_code
1,Precious Achiuwa,/players/a/achiupr01.html,achiupr01
2,Steven Adams,/players/a/adamsst01.html,adamsst01
3,Bam Adebayo,/players/a/adebaba01.html,adebaba01
4,Ochai Agbaji,/players/a/agbajoc01.html,agbajoc01
5,Santi Aldama,/players/a/aldamsa01.html,aldamsa01
6,Ty-Shon Alexander,/players/a/alexaty01.html,alexaty01
7,Nickeil Alexander-Walker,/players/a/alexani01.html,alexani01
8,Rawle Alkins,/players/a/alkinra01.html,alkinra01
9,Grayson Allen,/players/a/allengr01.html,allengr01
10,Jarrett Allen,/players/a/allenja01.html,allenja01
11,Jose Alvarado,/players/a/alvarjo01.html,alvarjo01
12,Justin Anderson,/players/a/anderju01.html,anderju01
13,Kyle Anderson,/players/a/anderky01.html,anderky01
14,Giannis Antetokounmpo,/players/a/antetgi01.html,antetgi01
15,Kostas Antetokounmpo,/players/a/antetko01.html,antetko01
16,Thanasis Antetokounmpo,/players/a/antetth01.html,antetth01
17,Cole Anthony,/players/a/anthoco01.html,anthoco01
18,OG Anunoby,/players/a/anunoog01.html,anunoog01
19,Ryan Arcidiacono,/players/a/arcidry01.html,arcidry01
20,Trevor Ariza,/players/a/arizatr01.html,arizatr01
21,Deni Avdija,/players/a/avdijde01.html,avdijde01
22,Joel Ayayi,/players/a/ayayijo01.html,ayayijo01
23,Deandre Ayton,/players/a/aytonde01.html,aytonde01
24,Udoka Azubuike,/players/a/azubuud01.html,azubuud01
25,Marvin Bagley III,/players/b/baglema01.html,baglema01
26,Patrick Baldwin Jr.,/players/b/baldwpa01.html,baldwpa01
27,LaMelo Ball,/players/b/ballla01.html,ballla01.
28,Lonzo Ball,/players/b/balllo01.html,balllo01.
29,Mo Bamba,/players/b/bambamo01.html,bambamo01
30,Paolo Banchero,/players/b/banchpa01.html,banchpa01
31,Desmond Bane,/players/b/banede01.html,banede01.
32,Dalano Banton,/players/b/bantoda01.html,bantoda01
33,Cat Barber,/players/b/barbeca01.html,barbeca01
34,Dominick Barlow,/players/b/barlodo01.html,barlodo01
35,Harrison Barnes,/players/b/barneha02.html,barneha02
36,Scottie Barnes,/players/b/barnesc01.html,barnesc01
37,RJ Barrett,/players/b/barrerj01.html,barrerj01
38,Will Barton,/players/b/bartowi01.html,bartowi01
39,Paris Bass,/players/b/basspa01.html,basspa01.
40,Charles Bassey,/players/b/bassech01.html,bassech01
41,Keita Bates-Diop,/players/b/bateske01.html,bateske01
42,Nicolas Batum,/players/b/batumni01.html,batumni01
43,Kent Bazemore,/players/b/bazemke01.html,bazemke01
44,Darius Bazley,/players/b/bazleda01.html,bazleda01
45,Bradley Beal,/players/b/bealbr01.html,bealbr01.
46,Malik Beasley,/players/b/beaslma01.html,beaslma01
47,MarJon Beauchamp,/players/b/beaucma01.html,beaucma01
48,Jordan Bell,/players/b/belljo01.html,belljo01.
49,DeAndre' Bembry,/players/b/bembrde01.html,bembrde01
50,Dāvis Bertāns,/players/b/bertada01.html,bertada01
51,Patrick Beverley,/players/b/beverpa01.html,beverpa01
52,Saddiq Bey,/players/b/beysa01.html,beysa01.h
53,Tyler Bey,/players/b/beyty01.html,beyty01.h
54,Khem Birch,/players/b/birchkh01.html,birchkh01
55,Goga Bitadze,/players/b/bitadgo01.html,bitadgo01
56,Bismack Biyombo,/players/b/biyombi01.html,biyombi01
57,Buddy Boeheim,/players/b/boehebu01.html,boehebu01
