date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,overtimes,attendance,arena_name,box_score_page,year
2013-10-29,7:00p,Orlando Magic,87,Indiana Pacers,97,Box Score,,"18,165",Bankers Life Fieldhouse,/boxscores/201310290IND.html,2014
2013-10-29,8:00p,Chicago Bulls,95,Miami Heat,107,Box Score,,"19,964",AmericanAirlines Arena,/boxscores/201310290MIA.html,2014
2013-10-29,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,"18,997",STAPLES Center,/boxscores/201310290LAL.html,2014
2013-10-30,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,"19,596",Oracle Arena,/boxscores/201310300GSW.html,2014
2013-10-30,10:00p,Denver Nuggets,88,Sacramento Kings,90,Box Score,,"17,317",Sleep Train Arena,/boxscores/201310300SAC.html,2014
2013-10-30,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,"17,208",US Airways Center,/boxscores/201310300PHO.html,2014
2013-10-30,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,"19,911",EnergySolutions Arena,/boxscores/201310300UTA.html,2014
2013-10-30,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,"19,834",American Airlines Center,/boxscores/201310300DAL.html,2014
2013-10-30,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,"18,581",AT&T Center,/boxscores/201310300SAS.html,2014
2013-10-30,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,"20,562",Quicken Loans Arena,/boxscores/201310300CLE.html,2014
2013-10-30,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,"17,988",Target Center,/boxscores/201310300MIN.html,2014
2013-10-30,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,"17,803",Smoothie King Center,/boxscores/201310300NOP.html,2014
2013-10-30,7:30p,Milwaukee Bucks,83,New York Knicks,90,Box Score,,"19,812",Madison Square Garden (IV),/boxscores/201310300NYK.html,2014
2013-10-30,7:30p,Washington Wizards,102,Detroit Pistons,113,Box Score,,"19,258",The Palace of Auburn Hills,/boxscores/201310300DET.html,2014
2013-10-30,7:00p,Miami Heat,110,Philadelphia 76ers,114,Box Score,,"19,523",Wells Fargo Center,/boxscores/201310300PHI.html,2014
2013-10-30,7:00p,Boston Celtics,87,Toronto Raptors,93,Box Score,,"20,155",Air Canada Centre,/boxscores/201310300TOR.html,2014
2013-10-30,8:00p,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,"18,083",Toyota Center,/boxscores/201310300HOU.html,2014
2013-10-31,8:00p,New York Knicks,81,Chicago Bulls,82,Box Score,,"22,022",United Center,/boxscores/201310310CHI.html,2014
2013-10-31,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,"19,060",STAPLES Center,/boxscores/201310310LAC.html,2014
2013-11-01,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,"18,997",STAPLES Center,/boxscores/201311010LAL.html,2014
2013-11-01,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,"17,317",Sleep Train Arena,/boxscores/201311010SAC.html,2014
2013-11-01,10:00p,Utah Jazz,84,Phoenix Suns,87,Box Score,,"14,662",US Airways Center,/boxscores/201311010PHO.html,2014
2013-11-01,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,"19,155",Pepsi Center,/boxscores/201311010DEN.html,2014
2013-11-01,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,"17,433",Target Center,/boxscores/201311010MIN.html,2014
2013-11-01,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,"18,119",FedEx Forum,/boxscores/201311010MEM.html,2014
2013-11-01,7:30p,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,"18,624",TD Garden,/boxscores/201311010BOS.html,2014
