date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,box_score_text,overtimes,attendance,arena_name,boxscore_url,game_id,season
"Mon, Jan 1, 2024",3:00p,Minnesota Timberwolves,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Mon, Jan 1, 2024",7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,,,2024
"Mon, Jan 1, 2024",8:00p,Detroit Pistons,,Houston Rockets,,,,,Toyota Center,,,2024
"Mon, Jan 1, 2024",8:00p,Indiana Pacers,,Milwaukee Bucks,,,,,Fiserv Forum,,,2024
"Mon, Jan 1, 2024",9:00p,Charlotte Hornets,,Denver Nuggets,,,,,Ball Arena,,,2024
"Mon, Jan 1, 2024",9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,,,2024
"Mon, Jan 1, 2024",9:00p,Dallas Mavericks,,Utah Jazz,,,,,Delta Center,,,2024
"Mon, Jan 1, 2024",10:30p,Miami Heat,,Los Angeles Clippers,,,,,Crypto.com Arena,,,2024
"Tue, Jan 2, 2024",7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Tue, Jan 2, 2024",8:00p,San Antonio Spurs,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Tue, Jan 2, 2024",8:00p,Brooklyn Nets,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Tue, Jan 2, 2024",8:00p,Boston Celtics,,Oklahoma City Thunder,,,,,Paycom Center,,,2024
"Tue, Jan 2, 2024",10:00p,Orlando Magic,,Golden State Warriors,,,,,Chase Center,,,2024
"Tue, Jan 2, 2024",10:00p,Charlotte Hornets,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Wed, Jan 3, 2024",7:00p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Wed, Jan 3, 2024",7:00p,Milwaukee Bucks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Wed, Jan 3, 2024",7:30p,Oklahoma City Thunder,,Atlanta Hawks,,,,,State Farm Arena,,,2024
"Wed, Jan 3, 2024",7:30p,Chicago Bulls,,New York Knicks,,,,,Madison Square Garden (IV),,,2024
"Wed, Jan 3, 2024",8:00p,Brooklyn Nets,,Houston Rockets,,,,,Toyota Center,,,2024
"Wed, Jan 3, 2024",8:00p,Toronto Raptors,,Memphis Grizzlies,,,,,FedEx Forum,,,2024
"Wed, Jan 3, 2024",8:00p,New Orleans Pelicans,,Minnesota Timberwolves,,,,,Target Center,,,2024
"Wed, Jan 3, 2024",8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Wed, Jan 3, 2024",9:00p,Los Angeles Clippers,,Phoenix Suns,,,,,Footprint Center,,,2024
"Wed, Jan 3, 2024",9:00p,Detroit Pistons,,Utah Jazz,,,,,Delta Center,,,2024
"Wed, Jan 3, 2024",10:00p,Miami Heat,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Wed, Jan 3, 2024",10:00p,Orlando Magic,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Thu, Jan 4, 2024",7:30p,Milwaukee Bucks,,San Antonio Spurs,,,,,AT&T Center,,,2024
"Thu, Jan 4, 2024",10:00p,Denver Nuggets,,Golden State Warriors,,,,,Chase Center,,,2024
"Fri, Jan 5, 2024",7:00p,Utah Jazz,,Boston Celtics,,,,,TD Garden,,,2024
"Fri, Jan 5, 2024",7:00p,Atlanta Hawks,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Fri, Jan 5, 2024",7:30p,Oklahoma City Thunder,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Fri, Jan 5, 2024",7:30p,Washington Wizards,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Fri, Jan 5, 2024",7:30p,New York Knicks,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Fri, Jan 5, 2024",8:00p,Charlotte Hornets,,Chicago Bulls,,,,,United Center,,,2024
"Fri, Jan 5, 2024",8:00p,Minnesota Timberwolves,,Houston Rockets,,,,,Toyota Center,,,2024
"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,,New Orleans Pelicans,,,,,Smoothie King Center,,,2024
"Fri, Jan 5, 2024",8:30p,Portland Trail Blazers,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Fri, Jan 5, 2024",9:00p,Orlando Magic,,Denver Nuggets,,,,,Ball Arena,,,2024
"Fri, Jan 5, 2024",9:00p,Miami Heat,,Phoenix Suns,,,,,Footprint Center,,,2024
"Fri, Jan 5, 2024",10:00p,Detroit Pistons,,Golden State Warriors,,,,,Chase Center,,,2024
"Fri, Jan 5, 2024",10:00p,Memphis Grizzlies,,Los Angeles Lakers,,,,,Crypto.com Arena,,,2024
"Fri, Jan 5, 2024",10:00p,Toronto Raptors,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Sat, Jan 6, 2024",7:00p,Boston Celtics,,Indiana Pacers,,,,,Gainbridge Fieldhouse,,,2024
"Sat, Jan 6, 2024",7:00p,New York Knicks,,Washington Wizards,,,,,Capital One Arena,,,2024
"Sat, Jan 6, 2024",7:30p,Utah Jazz,,Philadelphia 76ers,,,,,Wells Fargo Center,,,2024
"Sat, Jan 6, 2024",8:00p,Milwaukee Bucks,,Houston Rockets,,,,,Toyota Center,,,2024
"Sun, Jan 7, 2024",1:00p,San Antonio Spurs,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,,,2024
"Sun, Jan 7, 2024",3:00p,Portland Trail Blazers,,Brooklyn Nets,,,,,Barclays Center,,,2024
"Sun, Jan 7, 2024",6:00p,Atlanta Hawks,,Orlando Magic,,,,,Amway Center,,,2024
"Sun, Jan 7, 2024",6:00p,New Orleans Pelicans,,Sacramento Kings,,,,,Golden 1 Center,,,2024
"Sun, Jan 7, 2024",7:30p,Minnesota Timberwolves,,Dallas Mavericks,,,,,American Airlines Center,,,2024
"Sun, Jan 7, 2024",8:00p,Detroit Pistons,,Denver Nuggets,,,,,Ball Arena,,,2024
"Sun, Jan 7, 2024",8:00p,Memphis Grizzlies,,Phoenix Suns,,,,,Footprint Center,,,2024
"Sun, Jan 7, 2024",8:30p,Toronto Raptors,,Golden State Warriors,,,,,Chase Center,,,2024
