,team,year,player,page,pos,height,weight,birth_date,years_experience
0,ATL,2018,Luke Babbitt,/players/b/babbilu01.html,SF,6-9,225,"June 20, 1989",7
1,ATL,2018,Kent Bazemore,/players/b/bazemke01.html,SG,6-4,195,"July 1, 1989",5
2,ATL,2018,Marco Belinelli,/players/b/belinma01.html,SG,6-5,220,"March 25, 1986",10
3,ATL,2018,DeAndre' Bembry,/players/b/bembrde01.html,SF,6-5,210,"July 4, 1994",1
4,ATL,2018,Nicolás Brussino,/players/b/brussni01.html,SF,6-7,195,"March 2, 1993",1
5,ATL,2018,Tyler Cavanaugh,/players/c/cavanty01.html,PF,6-9,238,"February 9, 1994",R
6,ATL,2018,Antonius Cleveland,/players/c/clevean01.html,SG,6-5,195,"February 2, 1994",R
7,ATL,2018,John Collins,/players/c/collijo01.html,PF,6-9,235,"September 23, 1997",R
8,ATL,2018,Dewayne Dedmon,/players/d/dedmode01.html,C,7-0,245,"August 12, 1989",4
9,ATL,2018,Malcolm Delaney,/players/d/delanma01.html,PG,6-3,190,"March 11, 1989",1
10,ATL,2018,Tyler Dorsey,/players/d/dorsety01.html,SG,6-5,183,"February 18, 1996",R
11,ATL,2018,Jeremy Evans,/players/e/evansje01.html,SF,6-9,200,"October 24, 1987",6
12,ATL,2018,Ersan İlyasova,/players/i/ilyaser01.html,PF,6-9,235,"May 15, 1987",9
13,ATL,2018,Damion Lee,/players/l/leeda03.html,SG,6-5,210,"October 21, 1992",R
14,ATL,2018,Josh Magette,/players/m/magetjo01.html,PG,6-1,160,"November 28, 1989",R
15,ATL,2018,Jaylen Morris,/players/m/morrija01.html,SG,6-5,185,"September 19, 1995",R
16,ATL,2018,Mike Muscala,/players/m/muscami01.html,C,6-10,240,"July 1, 1991",4
17,ATL,2018,Miles Plumlee,/players/p/plumlmi01.html,C,6-11,249,"September 1, 1988",5
18,ATL,2018,Taurean Prince,/players/p/princta02.html,SF,6-7,218,"March 22, 1994",1
19,ATL,2018,Dennis Schröder,/players/s/schrode01.html,PG,6-3,172,"September 15, 1993",4
