player,pos,height,weight,birth_date,years_experience,player_url,player_code,team_code,season
De'Andre Hunter,F,6-8,225,"December 2, 1997",4,/players/h/huntede01.html,huntede01,ATL,2024
Jarkel Joiner,G,6-1,180,"May 20, 1999",R,/players/j/joineja01.html,joineja01,ATL,2024
Keaton Wallace,G,6-4,195,"February 26, 1999",R,/players/w/wallake01.html,wallake01,ATL,2024
Trent Forrest  (TW),G,6-4,210,"June 12, 1998",3,/players/f/forretr01.html,forretr01,ATL,2024
Wesley Matthews,G,6-4,220,"October 14, 1986",14,/players/m/matthwe02.html,matthwe02,ATL,2024
Seth Lundy  (TW),G-F,6-6,220,"April 2, 2000",R,/players/l/lundyse01.html,lundyse01,ATL,2024
Miles Norris  (TW),F,6-10,220,"April 15, 2000",R,/players/n/norrimi01.html,norrimi01,ATL,2024
Kobe Bufkin,G,6-4,195,"September 21, 2003",R,/players/b/bufkiko01.html,bufkiko01,ATL,2024
Mouhamed Gueye,F,6-11,210,"November 9, 2002",R,/players/g/gueyemo02.html,gueyemo02,ATL,2024
Bogdan Bogdanović,G,6-6,220,"August 18, 1992",6,/players/b/bogdabo01.html,bogdabo01,ATL,2024
Dejounte Murray,G,6-4,180,"September 19, 1996",6,/players/m/murrade01.html,murrade01,ATL,2024
Bruno Fernando,F,6-9,240,"August 15, 1998",4,/players/f/fernabr01.html,fernabr01,ATL,2024
Patty Mills,G,6-1,180,"August 11, 1988",14,/players/m/millspa02.html,millspa02,ATL,2024
AJ Griffin,F,6-6,222,"August 25, 2003",1,/players/g/griffaj01.html,griffaj01,ATL,2024
Garrison Mathews,G,6-5,215,"October 24, 1996",4,/players/m/mathega01.html,mathega01,ATL,2024
Clint Capela,C,6-10,240,"May 18, 1994",9,/players/c/capelca01.html,capelca01,ATL,2024
Trae Young,G,6-1,164,"September 19, 1998",5,/players/y/youngtr01.html,youngtr01,ATL,2024
Jalen Johnson,F,6-9,220,"December 18, 2001",2,/players/j/johnsja05.html,johnsja05,ATL,2024
Saddiq Bey,F,6-7,215,"April 9, 1999",3,/players/b/beysa01.html,beysa01,ATL,2024
Onyeka Okongwu,F,6-8,235,"December 11, 2000",3,/players/o/okongon01.html,okongon01,ATL,2024
Oshae Brissett,F,6-7,210,"June 20, 1998",4,/players/b/brissos01.html,brissos01,BOS,2024
DJ Steward,G,6-2,163,"October 2, 2001",R,/players/s/stewadj01.html,stewadj01,BOS,2024
Lamar Stevens,F,6-6,230,"July 9, 1997",3,/players/s/stevela01.html,stevela01,BOS,2024
Neemias Queta  (TW),C,7-0,245,"July 13, 1999",2,/players/q/quetane01.html,quetane01,BOS,2024
Svi Mykhailiuk,G-F,6-7,205,"June 10, 1997",5,/players/m/mykhasv01.html,mykhasv01,BOS,2024
Jay Scrubb  (TW),G-F,6-5,220,"September 1, 2000",3,/players/s/scrubja01.html,scrubja01,BOS,2024
Dalano Banton,G-F,6-9,204,"November 7, 1999",2,/players/b/bantoda01.html,bantoda01,BOS,2024
JD Davison  (TW),G,6-3,195,"October 3, 2002",1,/players/d/davisjd01.html,davisjd01,BOS,2024
Jordan Walsh,G-F,6-7,205,"March 3, 2004",R,/players/w/walshjo01.html,walshjo01,BOS,2024
Kristaps Porziņģis,F-C,7-3,240,"August 2, 1995",7,/players/p/porzikr01.html,porzikr01,BOS,2024
Al Horford,C-F,6-9,240,"June 3, 1986",16,/players/h/horfoal01.html,horfoal01,BOS,2024
Sam Hauser,F,6-8,215,"December 8, 1997",2,/players/h/hausesa01.html,hausesa01,BOS,2024
Luke Kornet,C-F,7-2,250,"July 15, 1995",6,/players/k/kornelu01.html,kornelu01,BOS,2024
Jrue Holiday,G,6-3,205,"June 12, 1990",14,/players/h/holidjr01.html,holidjr01,BOS,2024
Derrick White,G,6-4,190,"July 2, 1994",6,/players/w/whitede01.html,whitede01,BOS,2024
Jayson Tatum,F,6-8,210,"March 3, 1998",6,/players/t/tatumja01.html,tatumja01,BOS,2024
Payton Pritchard,G,6-1,195,"January 28, 1998",3,/players/p/pritcpa01.html,pritcpa01,BOS,2024
Jaylen Brown,F-G,6-6,223,"October 24, 1996",7,/players/b/brownja02.html,brownja02,BOS,2024
